Country Name,Indicator Name,2010
Afghanistan,GDP per capita (constant 2010 US$),"543,302967401909"
Albania,GDP per capita (constant 2010 US$),"4094,3503344202"
Algeria,GDP per capita (constant 2010 US$),"4480,78743864927"
Andorra,GDP per capita (constant 2010 US$),"40850,2481432297"
Angola,GDP per capita (constant 2010 US$),"3587,88364462837"
Antigua and Barbuda,GDP per capita (constant 2010 US$),"13048,9605816199"
Argentina,GDP per capita (constant 2010 US$),"10385,9644319555"
Armenia,GDP per capita (constant 2010 US$),"3218,37829927419"
Aruba,GDP per capita (constant 2010 US$),"23513,527696809"
Australia,GDP per capita (constant 2010 US$),"52022,1255961876"
Austria,GDP per capita (constant 2010 US$),"46858,0432733717"
Azerbaijan,GDP per capita (constant 2010 US$),"5843,5337683582"
"Bahamas, The",GDP per capita (constant 2010 US$),"28443,8884756689"
Bahrain,GDP per capita (constant 2010 US$),"20722,0704900745"
Bangladesh,GDP per capita (constant 2010 US$),"781,153577677298"
Barbados,GDP per capita (constant 2010 US$),"16056,3709766031"
Belarus,GDP per capita (constant 2010 US$),"6029,3967998293"
Belgium,GDP per capita (constant 2010 US$),"44141,8781415734"
Belize,GDP per capita (constant 2010 US$),"4270,7800308201"
Benin,GDP per capita (constant 2010 US$),"1036,53459416252"
Bermuda,GDP per capita (constant 2010 US$),"101875,28407346"
Bhutan,GDP per capita (constant 2010 US$),"2258,18643535953"
Bolivia,GDP per capita (constant 2010 US$),"1955,460180975"
Bosnia and Herzegovina,GDP per capita (constant 2010 US$),"4635,51027337483"
Botswana,GDP per capita (constant 2010 US$),"6434,81248526822"
Brazil,GDP per capita (constant 2010 US$),"11286,2429009115"
Brunei,GDP per capita (constant 2010 US$),"35270,6421390658"
Bulgaria,GDP per capita (constant 2010 US$),"6812,40633845402"
Burkina Faso,GDP per capita (constant 2010 US$),"647,836095537879"
Burundi,GDP per capita (constant 2010 US$),"234,235532533654"
Cambodia,GDP per capita (constant 2010 US$),"785,502667057281"
Cameroon,GDP per capita (constant 2010 US$),"1286,51588785105"
Canada,GDP per capita (constant 2010 US$),"47562,0834253057"
Cape Verde,GDP per capita (constant 2010 US$),"3378,3234334576"
Cayman Islands,GDP per capita (constant 2010 US$),"73351,7567693109"
Central African Republic,GDP per capita (constant 2010 US$),"488,421773091439"
Chad,GDP per capita (constant 2010 US$),"892,568869694168"
Chile,GDP per capita (constant 2010 US$),"12808,0383396854"
China,GDP per capita (constant 2010 US$),"4550,45310775599"
Colombia,GDP per capita (constant 2010 US$),"6336,70947398466"
Comoros,GDP per capita (constant 2010 US$),"1316,49122468758"
"Congo, Dem. Rep.",GDP per capita (constant 2010 US$),"334,02157774666"
"Congo, Rep.",GDP per capita (constant 2010 US$),"3073,55778366557"
Costa Rica,GDP per capita (constant 2010 US$),"8227,12749376825"
Cote d'Ivoire,GDP per capita (constant 2010 US$),"1213,11299955211"
Croatia,GDP per capita (constant 2010 US$),"13949,3264974977"
Cuba,GDP per capita (constant 2010 US$),"5730,35426413345"
Cyprus,GDP per capita (constant 2010 US$),"31023,6383309791"
Czech Republic,GDP per capita (constant 2010 US$),"19960,0684872157"
Denmark,GDP per capita (constant 2010 US$),"58041,3984363385"
Djibouti,GDP per capita (constant 2010 US$),"1343,27512498519"
Dominica,GDP per capita (constant 2010 US$),"6967,36495514661"
Dominican Republic,GDP per capita (constant 2010 US$),"5555,39201393816"
East Timor,GDP per capita (constant 2010 US$),"806,413526264338"
Ecuador,GDP per capita (constant 2010 US$),"4633,59128443099"
"Egypt, Arab Rep.",GDP per capita (constant 2010 US$),"2645,96875877924"
El Salvador,GDP per capita (constant 2010 US$),"2983,2288061357"
Eritrea,GDP per capita (constant 2010 US$),"501,355316997143"
Estonia,GDP per capita (constant 2010 US$),"14784,3846616318"
Eswatini,GDP per capita (constant 2010 US$),"4168,48951837194"
Ethiopia(excludes Eritrea),GDP per capita (constant 2010 US$),"341,554122699663"
Faeroe Islands,GDP per capita (constant 2010 US$),"48541,4011938484"
Fiji,GDP per capita (constant 2010 US$),"3652,53593320954"
Finland,GDP per capita (constant 2010 US$),"46459,9732548543"
Fm Sudan,GDP per capita (constant 2010 US$),"1489,87408744006"
France,GDP per capita (constant 2010 US$),"40638,3352541414"
French Polynesia,GDP per capita (constant 2010 US$),
Gabon,GDP per capita (constant 2010 US$),"8849,32260799167"
"Gambia, The",GDP per capita (constant 2010 US$),"860,636433851486"
Georgia,GDP per capita (constant 2010 US$),"3233,29594347421"
Germany,GDP per capita (constant 2010 US$),"41531,9341978689"
Ghana,GDP per capita (constant 2010 US$),"1299,34521164062"
Greece,GDP per capita (constant 2010 US$),"26690,6074159782"
Greenland,GDP per capita (constant 2010 US$),"43988,3324931946"
Grenada,GDP per capita (constant 2010 US$),"7258,16656084855"
Guatemala,GDP per capita (constant 2010 US$),"2852,54732650116"
Guinea,GDP per capita (constant 2010 US$),"672,424930360214"
Guinea-Bissau,GDP per capita (constant 2010 US$),"558,174668134758"
Guyana,GDP per capita (constant 2010 US$),"4580,69913571388"
Honduras,GDP per capita (constant 2010 US$),"1904,34715184132"
"Hong Kong, China",GDP per capita (constant 2010 US$),"32549,998231121"
Hungary,GDP per capita (constant 2010 US$),"13191,6212644696"
Iceland,GDP per capita (constant 2010 US$),"43237,0729488958"
India,GDP per capita (constant 2010 US$),"1357,5637268318"
Indonesia,GDP per capita (constant 2010 US$),"3122,36267319362"
"Iran, Islamic Rep.",GDP per capita (constant 2010 US$),"6599,66093791004"
Iraq,GDP per capita (constant 2010 US$),"4657,28026921588"
Ireland,GDP per capita (constant 2010 US$),"48698,1653176731"
Israel,GDP per capita (constant 2010 US$),"30694,1676766923"
Italy,GDP per capita (constant 2010 US$),"36000,5201179254"
Jamaica,GDP per capita (constant 2010 US$),"4704,04775962425"
Japan,GDP per capita (constant 2010 US$),"44507,6763859172"
Jordan,GDP per capita (constant 2010 US$),"3736,64546207921"
Kazakhstan,GDP per capita (constant 2010 US$),"9070,48825285747"
Kenya,GDP per capita (constant 2010 US$),"951,687779975318"
Kiribati,GDP per capita (constant 2010 US$),"1516,76766004642"
"Korea, Rep.",GDP per capita (constant 2010 US$),"23087,2256438476"
Kuwait,GDP per capita (constant 2010 US$),"38577,4982788212"
Kyrgyz Republic,GDP per capita (constant 2010 US$),"880,037775119109"
Lao PDR,GDP per capita (constant 2010 US$),"1140,59865722652"
Latvia,GDP per capita (constant 2010 US$),"11379,7980636181"
Lebanon,GDP per capita (constant 2010 US$),"7761,64148945415"
Lesotho,GDP per capita (constant 2010 US$),"1119,84364083093"
Libya,GDP per capita (constant 2010 US$),"12064,7729057622"
Lithuania,GDP per capita (constant 2010 US$),"11987,508411647"
Luxembourg,GDP per capita (constant 2010 US$),"104965,306078267"
Macao,GDP per capita (constant 2010 US$),"52473,1909904323"
Madagascar,GDP per capita (constant 2010 US$),"471,959197029823"
Malawi,GDP per capita (constant 2010 US$),"478,668688469613"
Malaysia,GDP per capita (constant 2010 US$),"9040,56849464524"
Maldives,GDP per capita (constant 2010 US$),"7076,73982087196"
Mali,GDP per capita (constant 2010 US$),"710,274249372168"
Malta,GDP per capita (constant 2010 US$),"21799,1742559798"
Mauritania,GDP per capita (constant 2010 US$),"1610,92160333629"
Mauritius,GDP per capita (constant 2010 US$),"8000,37643182154"
Mexico,GDP per capita (constant 2010 US$),"9271,39839576997"
"Micronesia, Fed. Sts.",GDP per capita (constant 2010 US$),"2885,30549185744"
Moldova,GDP per capita (constant 2010 US$),"2437,52997842423"
Mongolia,GDP per capita (constant 2010 US$),"2643,28708316435"
Montenegro,GDP per capita (constant 2010 US$),"6688,48239970574"
Morocco,GDP per capita (constant 2010 US$),"2839,92611978697"
Mozambique,GDP per capita (constant 2010 US$),"471,904343344477"
Myanmar,GDP per capita (constant 2010 US$),"1018,13172971134"
Namibia,GDP per capita (constant 2010 US$),"5394,99671137475"
Nepal,GDP per capita (constant 2010 US$),"592,401207101201"
Netherlands,GDP per capita (constant 2010 US$),"50950,0343435181"
New Caledonia,GDP per capita (constant 2010 US$),
New Zealand,GDP per capita (constant 2010 US$),"33676,7741239925"
Nicaragua,GDP per capita (constant 2010 US$),"1503,87223074992"
Niger,GDP per capita (constant 2010 US$),"476,869532167304"
Nigeria,GDP per capita (constant 2010 US$),"2280,43733738126"
North Macedonia,GDP per capita (constant 2010 US$),"4545,39213137603"
Norway,GDP per capita (constant 2010 US$),"87693,7900658099"
Occ.Pal.Terr,GDP per capita (constant 2010 US$),"2557,07562356699"
Oman,GDP per capita (constant 2010 US$),"18712,5701450989"
Pakistan,GDP per capita (constant 2010 US$),"987,409712037523"
Palau,GDP per capita (constant 2010 US$),"10356,6336192492"
Panama,GDP per capita (constant 2010 US$),"8082,01958387357"
Papua New Guinea,GDP per capita (constant 2010 US$),"1949,35118513254"
Paraguay,GDP per capita (constant 2010 US$),"4359,42841539817"
Peru,GDP per capita (constant 2010 US$),"5082,35370614454"
Philippines,GDP per capita (constant 2010 US$),"2217,47215336652"
Poland,GDP per capita (constant 2010 US$),"12613,0109954681"
Portugal,GDP per capita (constant 2010 US$),"22498,6908586557"
Qatar,GDP per capita (constant 2010 US$),"67403,0876779676"
Romania,GDP per capita (constant 2010 US$),"8214,07689289811"
Russian Federation,GDP per capita (constant 2010 US$),"10674,9957825675"
Rwanda,GDP per capita (constant 2010 US$),"609,724917020252"
Samoa,GDP per capita (constant 2010 US$),"3566,45827695492"
Sao Tome and Principe,GDP per capita (constant 2010 US$),"1090,26076257543"
Saudi Arabia,GDP per capita (constant 2010 US$),"19262,5476010256"
Senegal,GDP per capita (constant 2010 US$),"1271,58328084525"
"Serbia, FR(Serbia/Montenegro)",GDP per capita (constant 2010 US$),"5735,42285659849"
Seychelles,GDP per capita (constant 2010 US$),"10804,6844747547"
Sierra Leone,GDP per capita (constant 2010 US$),"401,834876099443"
Singapore,GDP per capita (constant 2010 US$),"47236,9602345421"
Slovak Republic,GDP per capita (constant 2010 US$),"16750,7974416083"
Slovenia,GDP per capita (constant 2010 US$),"23509,5431355463"
Solomon Islands,GDP per capita (constant 2010 US$),"1604,20582993513"
South Africa,GDP per capita (constant 2010 US$),"7328,61519967084"
Spain,GDP per capita (constant 2010 US$),"30502,7197080776"
Sri Lanka,GDP per capita (constant 2010 US$),"2799,64873802555"
St. Kitts and Nevis,GDP per capita (constant 2010 US$),"15510,1991465257"
St. Lucia,GDP per capita (constant 2010 US$),"8540,07097992462"
St. Vincent and the Grenadines,GDP per capita (constant 2010 US$),"6292,49885392505"
Suriname,GDP per capita (constant 2010 US$),"8255,87487222955"
Sweden,GDP per capita (constant 2010 US$),"52869,0442891587"
Switzerland,GDP per capita (constant 2010 US$),"77117,126014204"
Syrian Arab Republic,GDP per capita (constant 2010 US$),
Tajikistan,GDP per capita (constant 2010 US$),"749,552412285997"
Tanzania,GDP per capita (constant 2010 US$),"743,403663887825"
Thailand,GDP per capita (constant 2010 US$),"5076,33987220163"
Togo,GDP per capita (constant 2010 US$),"534,04478262418"
Tonga,GDP per capita (constant 2010 US$),"3527,95234170016"
Trinidad and Tobago,GDP per capita (constant 2010 US$),"16683,3930629542"
Tunisia,GDP per capita (constant 2010 US$),"4141,97596390705"
Turkey,GDP per capita (constant 2010 US$),"10742,7749787626"
Turkmenistan,GDP per capita (constant 2010 US$),"4439,20212759739"
Turks and Caicos Isl.,GDP per capita (constant 2010 US$),"21029,6956335354"
Tuvalu,GDP per capita (constant 2010 US$),"3024,76177363717"
Uganda,GDP per capita (constant 2010 US$),"819,007465178737"
Ukraine,GDP per capita (constant 2010 US$),"2965,13971520617"
United Arab Emirates,GDP per capita (constant 2010 US$),"33893,2638727391"
United Kingdom,GDP per capita (constant 2010 US$),"39536,7726806835"
United States,GDP per capita (constant 2010 US$),"48466,6576026922"
Uruguay,GDP per capita (constant 2010 US$),"11992,0237658273"
Uzbekistan,GDP per capita (constant 2010 US$),"1634,31209539718"
Vanuatu,GDP per capita (constant 2010 US$),"2839,40634031798"
Venezuela,GDP per capita (constant 2010 US$),"13825,3571160818"
Vietnam,GDP per capita (constant 2010 US$),"1317,89064625221"
Yemen,GDP per capita (constant 2010 US$),"1334,78490225941"
Zambia,GDP per capita (constant 2010 US$),"1489,45908689417"
Zimbabwe,GDP per capita (constant 2010 US$),"948,331481033457"
